id,timestamp,market_ticker,platform,market_type,event_slug,direction,entry_price,size,model_probability,market_price_at_entry,edge_at_entry,settled,settlement_time,settlement_value,result,pnl
296,2026-04-29 14:26:38,2106265,polymarket,btc,btc-updown-5m-1777473300,up,0.505000,75.000000,0.600128,0.505000,0.095128,True,2026-04-29 14:44:37,1.000000,win,37.120000
297,2026-04-29 14:26:38,2106271,polymarket,btc,btc-updown-5m-1777473600,up,0.505000,75.000000,0.600128,0.505000,0.095128,True,2026-04-29 14:50:37,0.000000,loss,-37.880000
298,2026-04-29 14:36:38,2106328,polymarket,btc,btc-updown-5m-1777473900,up,0.505000,75.000000,0.594786,0.505000,0.089786,True,2026-04-29 14:56:37,0.000000,loss,-37.880000
299,2026-04-29 14:43:38,2106344,polymarket,btc,btc-updown-5m-1777474200,down,0.495000,75.000000,0.396018,0.505000,0.108982,True,2026-04-29 15:02:37,1.000000,loss,-37.120000
300,2026-04-29 14:45:38,2106362,polymarket,btc,btc-updown-5m-1777474500,down,0.495000,75.000000,0.399095,0.505000,0.105905,True,2026-04-29 15:04:37,0.000000,win,37.880000
301,2026-04-29 14:50:38,2106376,polymarket,btc,btc-updown-5m-1777474800,down,0.495000,75.000000,0.407298,0.505000,0.097702,True,2026-04-29 15:08:37,0.000000,win,37.880000
302,2026-04-29 15:02:38,2106390,polymarket,btc,btc-updown-5m-1777475100,down,0.495000,75.000000,0.417586,0.505000,0.087414,True,2026-04-29 15:14:37,0.000000,win,37.880000
303,2026-04-29 15:02:38,2106395,polymarket,btc,btc-updown-5m-1777475400,down,0.495000,75.000000,0.417586,0.505000,0.087414,True,2026-04-29 15:20:37,0.000000,win,37.880000
304,2026-04-29 15:05:38,2106411,polymarket,btc,btc-updown-5m-1777475700,down,0.495000,75.000000,0.405373,0.505000,0.099627,True,2026-04-29 15:28:37,0.000000,win,37.880000
305,2026-04-29 15:10:38,2106434,polymarket,btc,btc-updown-5m-1777476000,down,0.495000,75.000000,0.414892,0.505000,0.090108,True,2026-04-29 15:30:37,1.000000,loss,-37.120000
306,2026-04-29 15:15:38,2106871,polymarket,btc,btc-updown-5m-1777476300,down,0.495000,75.000000,0.421346,0.505000,0.083654,True,2026-04-29 15:46:37,0.000000,win,37.880000
307,2026-04-29 15:21:38,2106881,polymarket,btc,btc-updown-5m-1777476600,down,0.495000,75.000000,0.413073,0.505000,0.091927,True,2026-04-29 15:44:37,1.000000,loss,-37.120000
308,2026-04-29 15:37:39,2106937,polymarket,btc,btc-updown-5m-1777477200,down,0.495000,75.000000,0.410739,0.505000,0.094261,True,2026-04-29 15:50:37,0.000000,win,37.880000
309,2026-04-29 15:37:39,2106953,polymarket,btc,btc-updown-5m-1777477500,down,0.495000,75.000000,0.410739,0.505000,0.094261,True,2026-04-29 16:00:37,1.000000,loss,-37.120000
310,2026-04-29 15:40:38,2106957,polymarket,btc,btc-updown-5m-1777477800,down,0.495000,75.000000,0.409350,0.505000,0.095650,True,2026-04-29 16:00:37,0.000000,win,37.880000
311,2026-04-29 15:45:39,2107181,polymarket,btc,btc-updown-5m-1777478100,down,0.495000,75.000000,0.414964,0.505000,0.090036,True,2026-04-29 16:08:37,1.000000,loss,-37.120000
312,2026-04-29 15:51:38,2107218,polymarket,btc,btc-updown-5m-1777478400,down,0.495000,75.000000,0.410169,0.505000,0.094831,True,2026-04-29 16:12:37,1.000000,loss,-37.120000
313,2026-04-29 15:53:38,2107281,polymarket,btc,btc-updown-5m-1777478700,down,0.495000,75.000000,0.412590,0.505000,0.092410,True,2026-04-29 16:14:37,0.000000,win,37.880000
314,2026-04-29 16:06:38,2107293,polymarket,btc,btc-updown-5m-1777479000,up,0.505000,75.000000,0.601956,0.505000,0.096956,True,2026-04-29 16:22:37,0.000000,loss,-37.880000
315,2026-04-29 16:06:38,2107303,polymarket,btc,btc-updown-5m-1777479300,up,0.505000,75.000000,0.601956,0.505000,0.096956,True,2026-04-29 16:26:37,0.000000,loss,-37.880000
316,2026-04-29 16:10:39,2107323,polymarket,btc,btc-updown-5m-1777479600,up,0.505000,75.000000,0.596455,0.505000,0.091455,True,2026-04-29 16:32:37,0.000000,loss,-37.880000
317,2026-04-29 16:15:38,2107722,polymarket,btc,btc-updown-5m-1777479900,up,0.505000,75.000000,0.592524,0.505000,0.087524,True,2026-04-29 16:34:37,1.000000,win,37.120000
318,2026-04-29 16:20:38,2107728,polymarket,btc,btc-updown-5m-1777480200,down,0.495000,75.000000,0.401589,0.505000,0.103411,True,2026-04-29 16:42:37,1.000000,loss,-37.120000
319,2026-04-29 16:23:38,2107853,polymarket,btc,btc-updown-5m-1777480500,down,0.495000,75.000000,0.403850,0.505000,0.101150,True,2026-04-29 16:44:37,1.000000,loss,-37.120000
320,2026-04-29 16:37:39,2107881,polymarket,btc,btc-updown-5m-1777480800,down,0.485000,75.000000,0.408199,0.515000,0.106801,True,2026-04-29 16:48:37,1.000000,loss,-36.380000
321,2026-04-29 16:37:39,2107909,polymarket,btc,btc-updown-5m-1777481100,down,0.495000,75.000000,0.408799,0.505000,0.096201,True,2026-04-29 17:00:37,0.000000,win,37.880000
322,2026-04-29 16:51:38,2107950,polymarket,btc,btc-updown-5m-1777481700,down,0.495000,75.000000,0.417531,0.505000,0.087469,True,2026-04-29 17:10:37,0.000000,win,37.880000
